UnitID,US FR,YR,SUM,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY, Unknown_state , Foreign 
119173,369,2020,370,0,0,0,0,361,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
119605,17,2020,17,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120166,1,2020,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120254,501,2021,535,0,0,7,0,190,11,10,0,13,7,2,9,2,21,0,0,0,2,1,4,10,21,1,12,0,2,2,0,5,1,11,2,40,3,0,3,0,17,8,1,1,0,3,18,2,0,12,45,0,2,0,5,29
120403,182,2020,225,0,0,1,0,133,2,0,0,1,0,1,4,0,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,3,0,2,1,3,1,0,1,0,4,2,1,0,0,0,3,1,0,3,6,0,1,0,0,43
120537,90,2020,91,0,0,3,0,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120768,3,2020,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120865,128,2021,129,0,0,2,0,101,2,0,0,0,2,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1
120883,734,2021,739,0,0,3,1,661,3,1,0,0,1,3,7,1,3,0,1,2,0,0,0,2,1,0,1,0,0,0,0,8,0,1,0,1,2,0,1,0,6,0,0,0,0,1,10,1,0,2,8,1,1,0,0,5
121150,943,2021,1023,2,0,27,1,502,38,6,0,0,13,9,12,4,20,4,1,5,1,1,1,2,10,13,7,2,5,3,1,11,0,12,1,17,8,2,11,1,20,21,1,1,0,16,67,3,1,13,42,0,3,2,2,78
121257,208,2020,225,0,0,3,0,101,1,0,2,2,2,1,5,0,12,0,0,0,0,1,1,1,7,2,4,0,1,0,0,2,2,4,2,10,1,0,2,2,7,0,3,0,0,2,5,0,1,2,16,0,1,0,0,17
121309,654,2021,662,0,1,16,0,482,19,0,0,0,3,0,16,4,8,0,2,4,0,0,0,1,1,1,4,1,1,1,3,4,1,2,1,1,5,1,2,1,15,2,0,0,0,2,6,3,1,3,31,0,5,0,0,8
121345,326,2020,397,1,3,5,1,111,5,4,0,2,16,8,4,1,24,1,1,1,0,2,4,6,9,5,6,1,3,2,2,5,0,7,1,13,0,0,5,1,9,5,0,1,1,2,13,3,2,1,26,0,3,0,1,70
121691,521,2020,522,0,1,4,0,407,9,3,1,1,3,0,3,1,6,0,0,2,0,1,0,2,2,1,1,0,3,1,0,8,0,0,4,2,1,0,0,1,9,3,0,0,0,0,12,2,0,1,26,0,0,0,0,1
122436,1107,2021,1161,2,0,47,1,611,63,13,0,2,7,8,11,2,23,0,1,7,0,1,1,7,24,1,25,0,6,1,7,42,1,10,8,16,4,0,6,2,25,5,2,1,0,2,28,6,0,8,64,0,6,0,14,40
122506,41,2020,57,0,0,3,0,12,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,1,0,0,6,1,0,0,3,0,1,0,0,16
122612,1304,2021,1447,2,3,8,1,840,30,6,3,2,9,19,41,3,25,1,2,2,1,2,4,10,20,5,11,1,6,2,0,13,4,8,4,26,4,0,2,1,45,9,1,2,0,2,43,3,6,13,50,0,9,0,0,143
122728,161,2020,165,0,0,1,0,127,1,0,0,0,2,0,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,0,5,0,0,0,0,4
122931,1418,2021,1553,1,2,29,0,808,61,29,1,2,8,2,23,5,44,3,0,1,1,4,1,5,42,2,9,0,8,1,1,5,3,17,3,33,4,0,11,3,52,3,2,1,1,3,45,4,1,8,125,0,0,1,40,95
123165,303,2021,316,0,0,3,1,135,8,4,0,2,2,2,2,0,8,1,3,1,0,0,0,8,13,2,12,0,0,2,0,1,1,5,2,15,1,0,1,1,9,3,1,1,0,1,10,2,0,3,35,0,2,0,1,12
123280,3,2020,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123457,98,2020,100,0,0,2,0,80,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0
123554,408,2021,420,0,0,2,0,352,7,0,0,0,0,0,3,3,3,0,0,0,0,1,2,1,0,2,2,0,2,0,1,1,0,0,0,2,0,0,1,0,6,2,0,0,0,1,2,2,0,0,10,0,0,0,1,11
123651,555,2020,555,0,1,11,0,495,8,0,0,0,1,2,2,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,8,0,1,0,0,0,1,0,0,3,0,0,0,1,0,6,0,0,1,7,0,0,0,0,0
123952,10,2021,30,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20
123961,3140,2021,3657,6,5,45,6,1574,60,39,4,4,92,61,20,6,128,17,9,15,12,11,5,53,54,12,24,3,29,2,7,53,7,91,7,159,30,2,31,9,30,63,4,8,1,25,160,17,4,35,84,1,15,1,4,513
